id,slug,routeName,originText,destinationText,matchedOriginLocation,matchedDestinationLocation,oldOriginLocationId,oldDestinationLocationId,newOriginLocationId,newDestinationLocationId,oldDistanceKm,newDistanceKm,oldDurationMinutes,newDurationMinutes,oldDistanceSource,newDistanceSource,status,skipReason
b0ba2cd9-287d-4fbe-ac5b-0d0864433f07,istanbul-izmir,İstanbul → İzmir Şehirlerarası,İstanbul,İzmir,İstanbul,İzmir,,,a3574c8a-abca-4858-81ec-482f83a71efb,1a271c67-953a-434f-aaf6-e0007bfb0f4c,480,480,300,291,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
f31708fd-b52b-404c-8d09-783912e82bd6,istanbul-sapanca,İstanbul – Sapanca Transferi,İstanbul,Sapanca,İstanbul,,ec3d9952-340f-4f2d-b185-50800ae9f5d8,235f20e6-322b-4851-82c2-6085732910a0,a3574c8a-abca-4858-81ec-482f83a71efb,,138,,135,,ADMIN_VERIFIED,,SKIPPED,Varış için tekil lokasyon eşleşmesi bulunamadı.
77909a90-74b2-42cf-811d-08f4aafeb132,sabiha-gokcen-kadikoy,Sabiha Gökçen – Kadıköy Transferi,Sabiha Gökçen Havalimanı,Kadıköy,Sabiha Gökçen Havalimanı (SAW),Kadıköy,,,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,ab55f7c7-747b-4961-b218-29c6aca89de2,34,30,55,45,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
c543b940-59c2-42b4-bd60-4c980b5dbb07,sabiha-gokcen-taksim,Sabiha Gökçen – Taksim Transferi,Sabiha Gökçen Havalimanı,Taksim,Sabiha Gökçen Havalimanı (SAW),Taksim Meydanı,,,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,296af085-9237-4244-9632-2f4255345f47,45,51,90,64,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
9e3856e1-3d6e-486f-8919-1a1a0c864cb9,sultanahmet-sabiha,Sultanahmet → Sabiha Gökçen Havalimanı,Sultanahmet,Sabiha Gökçen Havalimanı,Sultanahmet Meydanı,Sabiha Gökçen Havalimanı (SAW),,,b282aa0d-3a54-4024-8401-f5b6dbee05dd,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,50,42,65,55,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
cd7f0543-acbb-4163-8ad1-93fbf8b79640,taksim-sabiha,Taksim → Sabiha Gökçen Havalimanı,Taksim,Sabiha Gökçen Havalimanı,Taksim Meydanı,Sabiha Gökçen Havalimanı (SAW),296af085-9237-4244-9632-2f4255345f47,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,296af085-9237-4244-9632-2f4255345f47,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,55,50,70,57,ADMIN_VERIFIED,ADMIN_VERIFIED,UPDATED,
b51afe2c-dcc8-48bc-afcf-f7325537af11,tarabya-bogaz,Tarabya / Boğaz Otelleri Transferi,Boğaz Otelleri (Tarabya),İstanbul Havalimanı / Sabiha Gökçen,,,,,,,35,,50,,LEGACY_UNVERIFIED,,SKIPPED,Kalkış ve varış için tekil lokasyon eşleşmesi bulunamadı.
id,slug,routeName,originText,destinationText,matchedOriginLocation,matchedDestinationLocation,oldOriginLocationId,oldDestinationLocationId,newOriginLocationId,newDestinationLocationId,oldDistanceKm,newDistanceKm,oldDurationMinutes,newDurationMinutes,oldDistanceSource,newDistanceSource,status,skipReason
cc77a35f-7d15-4161-947f-9dcff21a142c,ist-havalimani-taksim,İstanbul Havalimanı – Taksim Transferi,İstanbul Havalimanı,Taksim,İstanbul Havalimanı (IST),Taksim Meydanı,ec3d9952-340f-4f2d-b185-50800ae9f5d8,296af085-9237-4244-9632-2f4255345f47,ec3d9952-340f-4f2d-b185-50800ae9f5d8,296af085-9237-4244-9632-2f4255345f47,42,47,65,50,ADMIN_VERIFIED,ADMIN_VERIFIED,UPDATED,
e012024a-7f30-4e9a-a88e-2b6249eeeebf,istanbul-ankara,İstanbul → Ankara Şehirlerarası,İstanbul,Ankara,İstanbul,Ankara,,,a3574c8a-abca-4858-81ec-482f83a71efb,20b7d22d-7d7a-4c18-9800-da2a57e9fd4b,450,445,280,283,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
4511e02d-eec1-4024-bc69-39af137bd146,istanbul-antalya,İstanbul → Antalya Şehirlerarası,İstanbul,Antalya,İstanbul,Antalya,,,a3574c8a-abca-4858-81ec-482f83a71efb,d52efd5f-f97d-4752-b610-cd18200b85ea,700,696,420,497,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
d56f3245-4add-4e7f-b9dd-db24f4b36729,istanbul-bodrum,İstanbul → Bodrum Şehirlerarası,İstanbul,Bodrum,İstanbul,,,,a3574c8a-abca-4858-81ec-482f83a71efb,,780,,480,,LEGACY_UNVERIFIED,,SKIPPED,Varış için tekil lokasyon eşleşmesi bulunamadı.
beee4b1a-afab-48e6-a585-9d865ded17c8,istanbul-bursa,İstanbul – Bursa Transferi,İstanbul,Bursa,İstanbul,Bursa,,,a3574c8a-abca-4858-81ec-482f83a71efb,9808de1b-1bb3-429e-b819-cda6f73524c6,155,155,165,122,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
918aba74-4789-4522-af26-b9cd65cca0e8,istanbul-havalimani-beyoglu,İstanbul Havalimanı – Beyoğlu Transferi,İstanbul Havalimanı,Beyoğlu,İstanbul Havalimanı (IST),Beyoğlu,,,ec3d9952-340f-4f2d-b185-50800ae9f5d8,2fc0d52f-227d-4b36-81a9-cf04089013c7,41,45,65,43,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
cbca25fe-4d88-4928-844f-c5c07a4bdd41,istanbul-havalimani-kadikoy,İstanbul Havalimanı – Kadıköy Transferi,İstanbul Havalimanı,Kadıköy,İstanbul Havalimanı (IST),Kadıköy,,,ec3d9952-340f-4f2d-b185-50800ae9f5d8,ab55f7c7-747b-4961-b218-29c6aca89de2,56,60,90,62,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
3c3cc348-1ba2-4d1a-a07b-1cb0a29fa0ac,istanbul-havalimani-sultanahmet,İstanbul Havalimanı – Sultanahmet Transferi,İstanbul Havalimanı,Sultanahmet,İstanbul Havalimanı (IST),Sultanahmet Meydanı,,,ec3d9952-340f-4f2d-b185-50800ae9f5d8,b282aa0d-3a54-4024-8401-f5b6dbee05dd,49,50,70,60,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
b0ba2cd9-287d-4fbe-ac5b-0d0864433f07,istanbul-izmir,İstanbul → İzmir Şehirlerarası,İstanbul,İzmir,İstanbul,İzmir,,,a3574c8a-abca-4858-81ec-482f83a71efb,1a271c67-953a-434f-aaf6-e0007bfb0f4c,480,480,300,291,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
f31708fd-b52b-404c-8d09-783912e82bd6,istanbul-sapanca,İstanbul – Sapanca Transferi,İstanbul,Sapanca,İstanbul,,ec3d9952-340f-4f2d-b185-50800ae9f5d8,235f20e6-322b-4851-82c2-6085732910a0,a3574c8a-abca-4858-81ec-482f83a71efb,,138,,135,,ADMIN_VERIFIED,,SKIPPED,Varış için tekil lokasyon eşleşmesi bulunamadı.
77909a90-74b2-42cf-811d-08f4aafeb132,sabiha-gokcen-kadikoy,Sabiha Gökçen – Kadıköy Transferi,Sabiha Gökçen Havalimanı,Kadıköy,Sabiha Gökçen Havalimanı (SAW),Kadıköy,,,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,ab55f7c7-747b-4961-b218-29c6aca89de2,34,30,55,45,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
c543b940-59c2-42b4-bd60-4c980b5dbb07,sabiha-gokcen-taksim,Sabiha Gökçen – Taksim Transferi,Sabiha Gökçen Havalimanı,Taksim,Sabiha Gökçen Havalimanı (SAW),Taksim Meydanı,,,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,296af085-9237-4244-9632-2f4255345f47,45,51,90,64,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
9e3856e1-3d6e-486f-8919-1a1a0c864cb9,sultanahmet-sabiha,Sultanahmet → Sabiha Gökçen Havalimanı,Sultanahmet,Sabiha Gökçen Havalimanı,Sultanahmet Meydanı,Sabiha Gökçen Havalimanı (SAW),,,b282aa0d-3a54-4024-8401-f5b6dbee05dd,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,50,42,65,55,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
cd7f0543-acbb-4163-8ad1-93fbf8b79640,taksim-sabiha,Taksim → Sabiha Gökçen Havalimanı,Taksim,Sabiha Gökçen Havalimanı,Taksim Meydanı,Sabiha Gökçen Havalimanı (SAW),296af085-9237-4244-9632-2f4255345f47,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,296af085-9237-4244-9632-2f4255345f47,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,55,50,70,57,ADMIN_VERIFIED,ADMIN_VERIFIED,UPDATED,
b51afe2c-dcc8-48bc-afcf-f7325537af11,tarabya-bogaz,Tarabya / Boğaz Otelleri Transferi,Boğaz Otelleri (Tarabya),İstanbul Havalimanı / Sabiha Gökçen,,,,,,,35,,50,,LEGACY_UNVERIFIED,,SKIPPED,Kalkış ve varış için tekil lokasyon eşleşmesi bulunamadı.
id,slug,routeName,originText,destinationText,matchedOriginLocation,matchedDestinationLocation,oldOriginLocationId,oldDestinationLocationId,newOriginLocationId,newDestinationLocationId,oldDistanceKm,newDistanceKm,oldDurationMinutes,newDurationMinutes,oldDistanceSource,newDistanceSource,status,skipReason
cc77a35f-7d15-4161-947f-9dcff21a142c,ist-havalimani-taksim,İstanbul Havalimanı – Taksim Transferi,İstanbul Havalimanı,Taksim,İstanbul Havalimanı (IST),Taksim Meydanı,ec3d9952-340f-4f2d-b185-50800ae9f5d8,296af085-9237-4244-9632-2f4255345f47,ec3d9952-340f-4f2d-b185-50800ae9f5d8,296af085-9237-4244-9632-2f4255345f47,42,47,65,50,ADMIN_VERIFIED,ADMIN_VERIFIED,UPDATED,
e012024a-7f30-4e9a-a88e-2b6249eeeebf,istanbul-ankara,İstanbul → Ankara Şehirlerarası,İstanbul,Ankara,İstanbul,Ankara,,,a3574c8a-abca-4858-81ec-482f83a71efb,20b7d22d-7d7a-4c18-9800-da2a57e9fd4b,450,445,280,283,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
4511e02d-eec1-4024-bc69-39af137bd146,istanbul-antalya,İstanbul → Antalya Şehirlerarası,İstanbul,Antalya,İstanbul,Antalya,,,a3574c8a-abca-4858-81ec-482f83a71efb,d52efd5f-f97d-4752-b610-cd18200b85ea,700,696,420,497,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
d56f3245-4add-4e7f-b9dd-db24f4b36729,istanbul-bodrum,İstanbul → Bodrum Şehirlerarası,İstanbul,Bodrum,İstanbul,,,,a3574c8a-abca-4858-81ec-482f83a71efb,,780,,480,,LEGACY_UNVERIFIED,,SKIPPED,Varış için tekil lokasyon eşleşmesi bulunamadı.
beee4b1a-afab-48e6-a585-9d865ded17c8,istanbul-bursa,İstanbul – Bursa Transferi,İstanbul,Bursa,İstanbul,Bursa,,,a3574c8a-abca-4858-81ec-482f83a71efb,9808de1b-1bb3-429e-b819-cda6f73524c6,155,155,165,122,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
918aba74-4789-4522-af26-b9cd65cca0e8,istanbul-havalimani-beyoglu,İstanbul Havalimanı – Beyoğlu Transferi,İstanbul Havalimanı,Beyoğlu,İstanbul Havalimanı (IST),Beyoğlu,,,ec3d9952-340f-4f2d-b185-50800ae9f5d8,2fc0d52f-227d-4b36-81a9-cf04089013c7,41,45,65,43,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
cbca25fe-4d88-4928-844f-c5c07a4bdd41,istanbul-havalimani-kadikoy,İstanbul Havalimanı – Kadıköy Transferi,İstanbul Havalimanı,Kadıköy,İstanbul Havalimanı (IST),Kadıköy,,,ec3d9952-340f-4f2d-b185-50800ae9f5d8,ab55f7c7-747b-4961-b218-29c6aca89de2,56,60,90,62,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
3c3cc348-1ba2-4d1a-a07b-1cb0a29fa0ac,istanbul-havalimani-sultanahmet,İstanbul Havalimanı – Sultanahmet Transferi,İstanbul Havalimanı,Sultanahmet,İstanbul Havalimanı (IST),Sultanahmet Meydanı,,,ec3d9952-340f-4f2d-b185-50800ae9f5d8,b282aa0d-3a54-4024-8401-f5b6dbee05dd,49,50,70,60,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
b0ba2cd9-287d-4fbe-ac5b-0d0864433f07,istanbul-izmir,İstanbul → İzmir Şehirlerarası,İstanbul,İzmir,İstanbul,İzmir,,,a3574c8a-abca-4858-81ec-482f83a71efb,1a271c67-953a-434f-aaf6-e0007bfb0f4c,480,480,300,291,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
f31708fd-b52b-404c-8d09-783912e82bd6,istanbul-sapanca,İstanbul – Sapanca Transferi,İstanbul,Sapanca,İstanbul,,ec3d9952-340f-4f2d-b185-50800ae9f5d8,235f20e6-322b-4851-82c2-6085732910a0,a3574c8a-abca-4858-81ec-482f83a71efb,,138,,135,,ADMIN_VERIFIED,,SKIPPED,Varış için tekil lokasyon eşleşmesi bulunamadı.
77909a90-74b2-42cf-811d-08f4aafeb132,sabiha-gokcen-kadikoy,Sabiha Gökçen – Kadıköy Transferi,Sabiha Gökçen Havalimanı,Kadıköy,Sabiha Gökçen Havalimanı (SAW),Kadıköy,,,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,ab55f7c7-747b-4961-b218-29c6aca89de2,34,30,55,45,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
c543b940-59c2-42b4-bd60-4c980b5dbb07,sabiha-gokcen-taksim,Sabiha Gökçen – Taksim Transferi,Sabiha Gökçen Havalimanı,Taksim,Sabiha Gökçen Havalimanı (SAW),Taksim Meydanı,,,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,296af085-9237-4244-9632-2f4255345f47,45,51,90,64,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
9e3856e1-3d6e-486f-8919-1a1a0c864cb9,sultanahmet-sabiha,Sultanahmet → Sabiha Gökçen Havalimanı,Sultanahmet,Sabiha Gökçen Havalimanı,Sultanahmet Meydanı,Sabiha Gökçen Havalimanı (SAW),,,b282aa0d-3a54-4024-8401-f5b6dbee05dd,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,50,42,65,55,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
cd7f0543-acbb-4163-8ad1-93fbf8b79640,taksim-sabiha,Taksim → Sabiha Gökçen Havalimanı,Taksim,Sabiha Gökçen Havalimanı,Taksim Meydanı,Sabiha Gökçen Havalimanı (SAW),296af085-9237-4244-9632-2f4255345f47,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,296af085-9237-4244-9632-2f4255345f47,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,55,50,70,57,ADMIN_VERIFIED,ADMIN_VERIFIED,UPDATED,
b51afe2c-dcc8-48bc-afcf-f7325537af11,tarabya-bogaz,Tarabya / Boğaz Otelleri Transferi,Boğaz Otelleri (Tarabya),İstanbul Havalimanı / Sabiha Gökçen,,,,,,,35,,50,,LEGACY_UNVERIFIED,,SKIPPED,Kalkış ve varış için tekil lokasyon eşleşmesi bulunamadı.
id,slug,routeName,originText,destinationText,matchedOriginLocation,matchedDestinationLocation,oldOriginLocationId,oldDestinationLocationId,newOriginLocationId,newDestinationLocationId,oldDistanceKm,newDistanceKm,oldDurationMinutes,newDurationMinutes,oldDistanceSource,newDistanceSource,status,skipReason
cc77a35f-7d15-4161-947f-9dcff21a142c,ist-havalimani-taksim,İstanbul Havalimanı – Taksim Transferi,İstanbul Havalimanı,Taksim,İstanbul Havalimanı (IST),Taksim Meydanı,ec3d9952-340f-4f2d-b185-50800ae9f5d8,296af085-9237-4244-9632-2f4255345f47,ec3d9952-340f-4f2d-b185-50800ae9f5d8,296af085-9237-4244-9632-2f4255345f47,42,47,65,50,ADMIN_VERIFIED,ADMIN_VERIFIED,UPDATED,
e012024a-7f30-4e9a-a88e-2b6249eeeebf,istanbul-ankara,İstanbul → Ankara Şehirlerarası,İstanbul,Ankara,İstanbul,Ankara,,,a3574c8a-abca-4858-81ec-482f83a71efb,20b7d22d-7d7a-4c18-9800-da2a57e9fd4b,450,445,280,283,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
4511e02d-eec1-4024-bc69-39af137bd146,istanbul-antalya,İstanbul → Antalya Şehirlerarası,İstanbul,Antalya,İstanbul,Antalya,,,a3574c8a-abca-4858-81ec-482f83a71efb,d52efd5f-f97d-4752-b610-cd18200b85ea,700,696,420,497,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
d56f3245-4add-4e7f-b9dd-db24f4b36729,istanbul-bodrum,İstanbul → Bodrum Şehirlerarası,İstanbul,Bodrum,İstanbul,,,,a3574c8a-abca-4858-81ec-482f83a71efb,,780,,480,,LEGACY_UNVERIFIED,,SKIPPED,Varış için tekil lokasyon eşleşmesi bulunamadı.
beee4b1a-afab-48e6-a585-9d865ded17c8,istanbul-bursa,İstanbul – Bursa Transferi,İstanbul,Bursa,İstanbul,Bursa,,,a3574c8a-abca-4858-81ec-482f83a71efb,9808de1b-1bb3-429e-b819-cda6f73524c6,155,155,165,122,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
918aba74-4789-4522-af26-b9cd65cca0e8,istanbul-havalimani-beyoglu,İstanbul Havalimanı – Beyoğlu Transferi,İstanbul Havalimanı,Beyoğlu,İstanbul Havalimanı (IST),Beyoğlu,,,ec3d9952-340f-4f2d-b185-50800ae9f5d8,2fc0d52f-227d-4b36-81a9-cf04089013c7,41,45,65,43,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
cbca25fe-4d88-4928-844f-c5c07a4bdd41,istanbul-havalimani-kadikoy,İstanbul Havalimanı – Kadıköy Transferi,İstanbul Havalimanı,Kadıköy,İstanbul Havalimanı (IST),Kadıköy,,,ec3d9952-340f-4f2d-b185-50800ae9f5d8,ab55f7c7-747b-4961-b218-29c6aca89de2,56,60,90,62,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
3c3cc348-1ba2-4d1a-a07b-1cb0a29fa0ac,istanbul-havalimani-sultanahmet,İstanbul Havalimanı – Sultanahmet Transferi,İstanbul Havalimanı,Sultanahmet,İstanbul Havalimanı (IST),Sultanahmet Meydanı,,,ec3d9952-340f-4f2d-b185-50800ae9f5d8,b282aa0d-3a54-4024-8401-f5b6dbee05dd,49,50,70,60,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
b0ba2cd9-287d-4fbe-ac5b-0d0864433f07,istanbul-izmir,İstanbul → İzmir Şehirlerarası,İstanbul,İzmir,İstanbul,İzmir,,,a3574c8a-abca-4858-81ec-482f83a71efb,1a271c67-953a-434f-aaf6-e0007bfb0f4c,480,480,300,291,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
f31708fd-b52b-404c-8d09-783912e82bd6,istanbul-sapanca,İstanbul – Sapanca Transferi,İstanbul,Sapanca,İstanbul,,ec3d9952-340f-4f2d-b185-50800ae9f5d8,235f20e6-322b-4851-82c2-6085732910a0,a3574c8a-abca-4858-81ec-482f83a71efb,,138,,135,,ADMIN_VERIFIED,,SKIPPED,Varış için tekil lokasyon eşleşmesi bulunamadı.
77909a90-74b2-42cf-811d-08f4aafeb132,sabiha-gokcen-kadikoy,Sabiha Gökçen – Kadıköy Transferi,Sabiha Gökçen Havalimanı,Kadıköy,Sabiha Gökçen Havalimanı (SAW),Kadıköy,,,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,ab55f7c7-747b-4961-b218-29c6aca89de2,34,30,55,45,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
c543b940-59c2-42b4-bd60-4c980b5dbb07,sabiha-gokcen-taksim,Sabiha Gökçen – Taksim Transferi,Sabiha Gökçen Havalimanı,Taksim,Sabiha Gökçen Havalimanı (SAW),Taksim Meydanı,,,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,296af085-9237-4244-9632-2f4255345f47,45,51,90,64,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
9e3856e1-3d6e-486f-8919-1a1a0c864cb9,sultanahmet-sabiha,Sultanahmet → Sabiha Gökçen Havalimanı,Sultanahmet,Sabiha Gökçen Havalimanı,Sultanahmet Meydanı,Sabiha Gökçen Havalimanı (SAW),,,b282aa0d-3a54-4024-8401-f5b6dbee05dd,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,50,42,65,55,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
cd7f0543-acbb-4163-8ad1-93fbf8b79640,taksim-sabiha,Taksim → Sabiha Gökçen Havalimanı,Taksim,Sabiha Gökçen Havalimanı,Taksim Meydanı,Sabiha Gökçen Havalimanı (SAW),296af085-9237-4244-9632-2f4255345f47,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,296af085-9237-4244-9632-2f4255345f47,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,55,50,70,57,ADMIN_VERIFIED,ADMIN_VERIFIED,UPDATED,
b51afe2c-dcc8-48bc-afcf-f7325537af11,tarabya-bogaz,Tarabya / Boğaz Otelleri Transferi,Boğaz Otelleri (Tarabya),İstanbul Havalimanı / Sabiha Gökçen,,,,,,,35,,50,,LEGACY_UNVERIFIED,,SKIPPED,Kalkış ve varış için tekil lokasyon eşleşmesi bulunamadı.
id,slug,routeName,originText,destinationText,matchedOriginLocation,matchedDestinationLocation,oldOriginLocationId,oldDestinationLocationId,newOriginLocationId,newDestinationLocationId,oldDistanceKm,newDistanceKm,oldDurationMinutes,newDurationMinutes,oldDistanceSource,newDistanceSource,status,skipReason
cc77a35f-7d15-4161-947f-9dcff21a142c,ist-havalimani-taksim,İstanbul Havalimanı – Taksim Transferi,İstanbul Havalimanı,Taksim,İstanbul Havalimanı (IST),Taksim Meydanı,ec3d9952-340f-4f2d-b185-50800ae9f5d8,296af085-9237-4244-9632-2f4255345f47,ec3d9952-340f-4f2d-b185-50800ae9f5d8,296af085-9237-4244-9632-2f4255345f47,42,47,65,50,ADMIN_VERIFIED,ADMIN_VERIFIED,UPDATED,
e012024a-7f30-4e9a-a88e-2b6249eeeebf,istanbul-ankara,İstanbul → Ankara Şehirlerarası,İstanbul,Ankara,İstanbul,Ankara,,,a3574c8a-abca-4858-81ec-482f83a71efb,20b7d22d-7d7a-4c18-9800-da2a57e9fd4b,450,445,280,283,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
4511e02d-eec1-4024-bc69-39af137bd146,istanbul-antalya,İstanbul → Antalya Şehirlerarası,İstanbul,Antalya,İstanbul,Antalya,,,a3574c8a-abca-4858-81ec-482f83a71efb,d52efd5f-f97d-4752-b610-cd18200b85ea,700,696,420,497,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
d56f3245-4add-4e7f-b9dd-db24f4b36729,istanbul-bodrum,İstanbul → Bodrum Şehirlerarası,İstanbul,Bodrum,İstanbul,,,,a3574c8a-abca-4858-81ec-482f83a71efb,,780,,480,,LEGACY_UNVERIFIED,,SKIPPED,Varış için tekil lokasyon eşleşmesi bulunamadı.
beee4b1a-afab-48e6-a585-9d865ded17c8,istanbul-bursa,İstanbul – Bursa Transferi,İstanbul,Bursa,İstanbul,Bursa,,,a3574c8a-abca-4858-81ec-482f83a71efb,9808de1b-1bb3-429e-b819-cda6f73524c6,155,155,165,122,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
918aba74-4789-4522-af26-b9cd65cca0e8,istanbul-havalimani-beyoglu,İstanbul Havalimanı – Beyoğlu Transferi,İstanbul Havalimanı,Beyoğlu,İstanbul Havalimanı (IST),Beyoğlu,,,ec3d9952-340f-4f2d-b185-50800ae9f5d8,2fc0d52f-227d-4b36-81a9-cf04089013c7,41,45,65,43,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
cbca25fe-4d88-4928-844f-c5c07a4bdd41,istanbul-havalimani-kadikoy,İstanbul Havalimanı – Kadıköy Transferi,İstanbul Havalimanı,Kadıköy,İstanbul Havalimanı (IST),Kadıköy,,,ec3d9952-340f-4f2d-b185-50800ae9f5d8,ab55f7c7-747b-4961-b218-29c6aca89de2,56,60,90,62,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
3c3cc348-1ba2-4d1a-a07b-1cb0a29fa0ac,istanbul-havalimani-sultanahmet,İstanbul Havalimanı – Sultanahmet Transferi,İstanbul Havalimanı,Sultanahmet,İstanbul Havalimanı (IST),Sultanahmet Meydanı,,,ec3d9952-340f-4f2d-b185-50800ae9f5d8,b282aa0d-3a54-4024-8401-f5b6dbee05dd,49,50,70,60,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
b0ba2cd9-287d-4fbe-ac5b-0d0864433f07,istanbul-izmir,İstanbul → İzmir Şehirlerarası,İstanbul,İzmir,İstanbul,İzmir,,,a3574c8a-abca-4858-81ec-482f83a71efb,1a271c67-953a-434f-aaf6-e0007bfb0f4c,480,480,300,291,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
f31708fd-b52b-404c-8d09-783912e82bd6,istanbul-sapanca,İstanbul – Sapanca Transferi,İstanbul,Sapanca,İstanbul,,ec3d9952-340f-4f2d-b185-50800ae9f5d8,235f20e6-322b-4851-82c2-6085732910a0,a3574c8a-abca-4858-81ec-482f83a71efb,,138,,135,,ADMIN_VERIFIED,,SKIPPED,Varış için tekil lokasyon eşleşmesi bulunamadı.
77909a90-74b2-42cf-811d-08f4aafeb132,sabiha-gokcen-kadikoy,Sabiha Gökçen – Kadıköy Transferi,Sabiha Gökçen Havalimanı,Kadıköy,Sabiha Gökçen Havalimanı (SAW),Kadıköy,,,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,ab55f7c7-747b-4961-b218-29c6aca89de2,34,30,55,45,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
c543b940-59c2-42b4-bd60-4c980b5dbb07,sabiha-gokcen-taksim,Sabiha Gökçen – Taksim Transferi,Sabiha Gökçen Havalimanı,Taksim,Sabiha Gökçen Havalimanı (SAW),Taksim Meydanı,,,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,296af085-9237-4244-9632-2f4255345f47,45,51,90,64,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
9e3856e1-3d6e-486f-8919-1a1a0c864cb9,sultanahmet-sabiha,Sultanahmet → Sabiha Gökçen Havalimanı,Sultanahmet,Sabiha Gökçen Havalimanı,Sultanahmet Meydanı,Sabiha Gökçen Havalimanı (SAW),,,b282aa0d-3a54-4024-8401-f5b6dbee05dd,f68a05cf-4ae4-40e7-88f8-f5eb1afca54d,50,42,65,55,LEGACY_UNVERIFIED,ADMIN_VERIFIED,UPDATED,
